1,1,パソコン,家電,50000,2023-01-01 8:30:15
2,2,スマートフォン,家電,30000,2023-01-02 12:45:30
3,3,書籍A,書籍,1500,2023-01-03 15:20:45
4,4,デジタルカメラ,家電,25000,2023-01-04 18:10:00
5,5,テレビ,家電,60000,2023-01-05 21:55:20
6,6,美容液,美容・健康,3500,2023-01-06 9:40:35
7,7,ダイニングテーブル,家具,40000,2023-01-07 14:05:50
8,8,ノートパソコン,家電,55000,2023-01-08 16:30:05
9,9,調理器具セット,家庭用品,8000,2023-01-09 19:15:20
10,10,ジャケット,ファッション,12000,2023-01-10 22:40:35
11,11,ランニングシューズ,スポーツ用品,8000,2023-01-11 10:05:50
12,12,キッチン家電セット,家電,30000,2023-01-12 12:30:05
13,13,折りたたみ自転車,スポーツ用品,15000,2023-01-13 15:15:20
14,14,コーヒーメーカー,家電,12000,2023-01-14 18:40:35
15,15,小説B,書籍,1800,2023-01-15 21:15:50
16,16,デニムパンツ,ファッション,5000,2023-01-16 8:05:05
17,17,バスケットボール,スポーツ用品,3000,2023-01-17 10:30:20
18,18,ジムトレーニング機器,スポーツ用品,25000,2023-01-18 13:15:35
19,19,シングルベッド,家具,20000,2023-01-19 16:40:50
20,20,エアフライヤー,家電,10000,2023-01-20 19:25:05
21,1,キャリーケース,旅行用品,8000,2023-01-21 22:00:20
22,2,プリンター,家電,15000,2023-01-22 9:35:35
23,3,ヘッドホン,家電,5000,2023-01-23 12:10:50
24,4,カーペット,家具,12000,2023-01-24 14:46:05
25,5,レコードプレーヤー,家電,30000,2023-01-25 17:21:20
26,6,アロマディフューザー,美容・健康,2500,2023-01-26 20:56:35
27,7,ダンベルセット,スポーツ用品,10000,2023-01-27 8:31:50
28,8,ホワイトボード,文房具,3000,2023-01-28 11:07:05
29,9,ポータブルスピーカー,家電,8000,2023-01-29 13:42:20
30,10,ソファ,家具,45000,2023-01-30 16:17:35
31,11,炊飯器,家電,10000,2023-01-31 18:52:50
32,12,フィットネスバンド,スポーツ用品,5000,2023-02-01 21:28:05
33,13,キッチンツールセット,家庭用品,6000,2023-02-02 0:03:20
34,14,ワンピース,ファッション,7000,2023-02-03 2:38:35
35,15,トレーニングマット,スポーツ用品,1500,2023-02-04 5:13:50
36,16,テーブルランプ,家電,3000,2023-02-05 7:49:05
37,17,ドライヤー,家電,7000,2023-02-06 10:24:20
38,18,デスクチェア,家具,12000,2023-02-07 13:59:35
39,19,エアマットレス,家具,8000,2023-02-08 16:34:50
40,20,フライパンセット,家庭用品,4000,2023-02-09 19:10:05
41,1,電子レンジ,家電,15000,2023-02-10 8:30:15
42,2,ノートPC,家電,60000,2023-02-11 12:45:30
43,3,スキャナー,家電,20000,2023-02-12 15:20:45
44,4,キャンプテント,アウトドア,10000,2023-02-13 18:10:00
45,5,スタディデスク,家具,18000,2023-02-14 21:55:20
46,6,ハンドミキサー,キッチン家電,5000,2023-02-15 9:40:35
47,7,サイクリングヘルメット,スポーツ用品,3500,2023-02-16 14:05:50
48,8,デジタル時計,ファッション,4000,2023-02-17 16:30:05
49,9,デスクライト,家電,2500,2023-02-18 19:15:20
50,10,シャープペンシル,文房具,800,2023-02-19 22:40:35
51,11,ボディケアセット,美容・健康,6000,2023-02-20 10:05:50
52,12,Bluetoothイヤホン,家電,9000,2023-02-21 12:30:05
53,13,腕時計,ファッション,12000,2023-02-22 15:15:20
54,14,電動歯ブラシ,美容・健康,3000,2023-02-23 18:40:35
55,15,カメラ三脚,カメラアクセサリー,7000,2023-02-24 21:15:50
56,16,フィットネスボール,フィットネス,1500,2023-02-25 8:05:05
57,17,デニムシャツ,ファッション,5000,2023-02-26 10:30:20
58,18,ロボット掃除機,家電,25000,2023-02-27 13:15:35
59,19,マウス,パソコンアクセサリー,2000,2023-02-28 16:40:50
60,20,クッション,インテリア,3000,2023-03-01 19:25:05